Codigo,Clave,Descripcion,Adelitas,Adelitas,San Agustin,San Agustin,Matriz,Matriz,Berriozabal,Berriozabal,H Ilustres,H Ilustres
Codigo,Clave,Descripcion,Inv,Class,Inv,Class,Inv,Class,Inv,Class,Inv,Class
10656,TRU CEA-54I,CEPILLO TRUPER CERDAS D/ALAMB. C/MANGO C,1,A,0,Sin Mov,0,A,6,C,6,B
103063,TRU CDU-50XN,CINTA DUCTO POLIETILENO NEGRO REF. 48MM,0,Sin Mov,0,Sin Mov,2,A,4,Sin Mov,0,Sin Mov
0.21608,TRU PBPRO-5MEC,PROMOCION PINTURA 1 FLEXOMETRO PRO-5MEC,0,Sin Mov,0,Sin Mov,1,A,4,Sin Mov,0,Sin Mov
20900,TRU PRO-20ME,CINTA LARGA METALICA 20 MTS. PRO-20ME PR,0,Sin Mov,0,Sin Mov,2,B,4,C,0,Sin Mov
15325,TRU PICK-UPX,IMAN EXTENSIBLE ACERO INOX. P/3.6 KG. PI,1,B,4,B,3,A,4,C,0,Sin Mov
14191,TRU CATR-5E,CEPILLO TRUPER D/ALAMB. CIRC. TRENZADO 5,0,Sin Mov,0,Sin Mov,2,B,4,C,0,Sin Mov
,TRU ESTU-4P,ESCALERA PLEGABLE ESTU-4P 4 PELDAÑOS 9,0,Sin Mov,0,B,0,B,3,Sin Mov,0,Sin Mov
14544,TRU ESP-TEL,ESPEJO TELESCOPICO TRUPER ESP-TEL,0,Sin Mov,0,Sin Mov,3,A,4,C,0,Sin Mov
11515,TRU POHE-7CU,PORTAHERRAMIENTA 7 COMP. CUERO POHE-7CU,0,Sin Mov,0,Sin Mov,3,A,4,Sin Mov,0,Sin Mov
000617-5,BER 617-5,PINTURA ESMALTE SUMMA 617 4 LTS.,4,Sin Mov,7,C,1,B,7,C,4,Sin Mov
006073-5,BER 6073-5,BASE ESMALTE SUMMA 6073 DEEP SEMI MATE,3,C,5,C,0,A,0,Sin Mov,5,C
101840,TRU BVI-1/2X,BROCA P/VIDRIO/AZULEJO TRUPER EXPERT 13.,3,C,5,C,0,B,5,C,0,Sin Mov
LI0182-4,BER LI0182-4,LACA IND. CHOCOLATE WENGUE LITRO LI0182-,4,Sin Mov,4,C,0,B,4,Sin Mov,3,C
13165,TRU CUNU-V,CUBRENUCA P/CASCO C/REFLEJANTE CUNU-V T,0,C,4,B,3,B,5,C,0,Sin Mov
18086,TRU COBI-3/4,SIERRA CORTA CIRCULO BIMETALICO 19.0MM 3,4,Sin Mov,4,Sin Mov,3,B,5,Sin Mov,0,Sin Mov
49685,TRU AQF-84,MEZCLADORA FOSET AQUA AQF-84 MONOMANDO P,4,Sin Mov,4,Sin Mov,3,A,1,C,0,Sin Mov
003223-5,BER PVB3223-5,PINTURA VINIL BERELEX 3223 BLANCA ONE HA,4,Sin Mov,0,Sin Mov,1,B,4,Sin Mov,1,B
FLCB-LA-BL,FER1 FLCB-LA-BL,FERKY FLCB-LA-BL CERRADURA POMO CILINDRI,0,Sin Mov,0,C,0,A,1,C,0,Sin Mov
006075-5,BER 6075-5,BASE ESMALTE SUMMA 6075 NEUTRA SEMI MATE,2,Sin Mov,3,C,5,A,0,C,2,C
11865,TRU ETA-8X,ESPATULA TRUPER TAPIZADORA 8 ETA-8X A.I,4,C,0,Sin Mov,1,B,0,Sin Mov,3,Sin Mov
14658,TRU ROTO-1/2A8,TRUPER ROTO-1/2A8 ROTOMARTILLO 1/2 V.V.R,4,C,3,B,2,A,3,B,3,Sin Mov
003135-5,BER 3135-5,MANO TALLER 3135-5 GRIS,4,Sin Mov,0,Sin Mov,0,B,0,Sin Mov,3,C
102377,TRU BAM-10,BROCA AVELLANADORA P/MADERA BAM-10 3/16,4,Sin Mov,2,C,3,B,4,Sin Mov,0,Sin Mov
